INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-678,10,1,2F,Não,472222,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,2024-05-04 00:00:00,2024-05-07 00:00:00,0,2024-05-07 00:00:00,6111-06-01 00:00:00,10
Escola Pública,ALUNO-680,17,1,7B,Não,7079375000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-06-07 00:00:00,5625,2024-05-06 00:00:00,671875,6375,10
Escola Pública,ALUNO-681,13,2,2H,Não,5648752,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-09-07 00:00:00,5,1.25,6875-04-01 00:00:00,7.75,5
Escola Pública,ALUNO-682,10,0,1A,Não,8138752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-06-09 00:00:00,2024-05-07 00:00:00,9,7.1875,7.75,5
Escola Pública,ALUNO-683,10,1,0G,Não,7301666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,69166799999999904,2024-08-09 00:00:00,5,10,2024-05-02 00:00:00,699999,5
Escola Pública,ALUNO-684,12,2,1R,Não,7867223333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-01-08 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,5416666666666660,7777773333333330,5
Escola Pública,ALUNO-685,8,1,0F,Não,7730002000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-09-09 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,2024-05-02 00:00:00,5,10
Escola Pública,ALUNO-686,11,2,0D,Não,7767919,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-06-08 00:00:00,5,9,8125-07-01 00:00:00,7333335,5
Escola Pública,ALUNO-688,17,2,7B,Não,6893959333333330,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,625001,2024-06-07 00:00:00,5625,4666666666666660,703125,7.75,10
Rede Decisão/União,ALUNO-689,11,3,2B,Sim,7776669999999990,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-03-09 00:00:00,5,2024-05-05 00:00:00,5,958334,10
Escola Pública,ALUNO-691,11,1,1C,Não,7694168666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,700002,2024-02-09 00:00:00,6.25,9,7291666666666660,2024-05-07 00:00:00,5
Escola Pública,ALUNO-693,8,0,0H,Não,8.25,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,10,2024-05-07 00:00:00,10,2024-05-02 00:00:00,699999,10
Escola Pública,ALUNO-695,8,0,0C,Não,8631250000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,10,2024-05-07 00:00:00,9,8125-07-01 00:00:00,699999,10
Escola Pública,ALUNO-696,12,1,2G,Sim,7778336,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750002,2024-06-09 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,7916666666666660,8833336666666660,5
Escola Pública,ALUNO-698,16,0,5B,Não,7008611666666660,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,708333,2024-08-08 00:00:00,5625,5333333333333330,8333333333333330,7888893333333330,5
Escola Pública,ALUNO-699,12,1,2P,Não,6792780666666660,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-07-04 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,7916666666666660,8055560000000000,5
Escola Pública,ALUNO-700,11,1,2F,Não,6966111333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-09-06 00:00:00,2024-05-07 00:00:00,2024-05-04 00:00:00,7916666666666660,6222213333333330,10
Escola Pública,ALUNO-702,9,1,1E,Não,8818057333333330,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-05-09 00:00:00,2024-05-07 00:00:00,10,7291666666666660,7944443333333330,10
Escola Pública,ALUNO-703,13,1,2D,Não,8340419,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-09-09 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,4375-08-01 00:00:00,7583335,5
Escola Pública,ALUNO-704,11,2,2D,Não,7590002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-07-09 00:00:00,2024-05-07 00:00:00,2024-05-03 00:00:00,2024-05-07 00:00:00,7.75,10
Escola Pública,ALUNO-707,14,1,2C,Não,7794168000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-07-08 00:00:00,2024-05-07 00:00:00,8,7708333333333330,7666663333333330,5
Escola Pública,ALUNO-708,10,1,1H,Não,8004724,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-01-08 00:00:00,2024-05-07 00:00:00,10,7291666666666660,7777776666666660,5
Rede Decisão/União,ALUNO-710,10,2,2B,Não,8431669,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9500020000000000,2024-02-08 00:00:00,6.25,9,2024-05-07 00:00:00,8333335,10
Escola Pública,ALUNO-712,11,0,1B,Não,7588752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-06-08 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,7.1875,7.75,5
Escola Pública,ALUNO-713,11,1,2J,Não,6066944666666660,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,583334,2024-08-06 00:00:00,2024-05-07 00:00:00,2024-05-01 00:00:00,5624999999999990,7555553333333330,10
Escola Pública,ALUNO-714,16,2,7A,Não,5550414999999990,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-07-02 00:00:00,4375,2024-05-04 00:00:00,5625-06-01 00:00:00,6333325,10
Escola Pública,ALUNO-716,9,1,2G,Não,7709168666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-09-09 00:00:00,2024-05-07 00:00:00,2024-05-03 00:00:00,8125,7833333333333330,10
Escola Pública,ALUNO-718,14,1,2N,Não,5546668666666660,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-04-07 00:00:00,4375,0,7291666666666660,2024-05-07 00:00:00,5
Escola Pública,ALUNO-719,10,3,2F,Não,5688333333333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8000020000000000,2024-04-05 00:00:00,4375,2024-05-01 00:00:00,7708333333333330,649999,10
Escola Pública,ALUNO-720,17,1,5L,Não,6325276333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,624999,2024-03-07 00:00:00,6.25,4,7708333333333330,772222,5
Escola Pública,ALUNO-721,12,1,1G,Não,5660002,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750002,2024-03-07 00:00:00,5,4,2024-05-02 00:00:00,7,5
Escola Pública,ALUNO-724,11,1,2R,Não,7861945333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,69166799999999904,2024-04-09 00:00:00,2024-05-07 00:00:00,6,7291666666666660,8055553333333330,10
Escola Pública,ALUNO-725,11,2,2M,Não,6730835000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-03-03 00:00:00,5,7,6875,7916665,10
Escola Pública,ALUNO-731,17,1,5L,Não,6437778666666660,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-08-07 00:00:00,3125,4333333333333330,7708333333333330,7555553333333330,5
Escola Pública,ALUNO-732,14,2,4L,Não,7851389666666660,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,7,2024-05-07 00:00:00,7666666666666660,8541666666666660,7611113333333330,10
Escola Pública,ALUNO-733,11,2,2M,Não,7044585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-09-07 00:00:00,8125,2024-05-02 00:00:00,7.1875,7916665,10
Escola Pública,ALUNO-737,11,1,2N,Não,8070001999999990,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-06-09 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,10
Escola Pública,ALUNO-738,12,2,2R,Não,7458336000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750002,9,6875,6,8541666666666660,8333336666666660,5
Rede Decisão/União,ALUNO-739,13,4,3A,Sim,8703753666666660,A,Topázio,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-03-07 00:00:00,10,8333333333333330,4375-08-01 00:00:00,8666675,10
Escola Pública,ALUNO-740,10,0,0D,Não,7940418,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-04-09 00:00:00,8125,10,8125-07-01 00:00:00,583333,5
Rede Decisão/União,ALUNO-743,8,0,0H,Não,7993333000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-08-09 00:00:00,5,10,2024-05-02 00:00:00,6916655,10
Escola Pública,ALUNO-744,17,1,6C,Não,5075208833333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,541667,2024-06-04 00:00:00,5,26666666666666600,671875,70416675,5
Escola Pública,ALUNO-745,15,1,4L,Não,5955279,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,2024-07-05 00:00:00,2024-05-07 00:00:00,2,8125,738889,5
Rede Decisão/União,ALUNO-746,10,2,2F,Sim,8890836,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-01-09 00:00:00,2024-05-07 00:00:00,9,8541666666666660,8833336666666660,10
Escola Pública,ALUNO-747,13,1,3B,Não,8154376000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-01-09 00:00:00,5625,8,796875,791667,10
Escola Pública,ALUNO-749,14,2,4L,Não,6502500333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958335,2024-07-03 00:00:00,2024-05-07 00:00:00,5333333333333330,8541666666666660,5666659999999990,10
Escola Pública,ALUNO-750,16,0,4B,Não,5549445666666660,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958335,2024-04-06 00:00:00,6875,0,8125,6555553333333330,5
Escola Pública,ALUNO-753,12,1,3E,Não,6485277,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-06-06 00:00:00,2024-05-07 00:00:00,23333333333333300,8125,6722216666666660,10
Escola Pública,ALUNO-755,13,3,3L,Não,7735417,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-05-07 00:00:00,5,8,4375-08-01 00:00:00,2024-05-07 00:00:00,10
Escola Pública,ALUNO-756,14,1,2B,Não,74341680000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-09-08 00:00:00,2024-05-07 00:00:00,9,4375,633333,5
Escola Pública,ALUNO-757,13,3,3A,Não,6240207333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,541666,2024-03-04 00:00:00,2024-05-07 00:00:00,4666666666666660,796875,6791665,10
Escola Pública,ALUNO-758,11,0,2L,Não,7436114000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-05-07 00:00:00,2024-05-07 00:00:00,4.25,7916666666666660,8222226666666660,10
Escola Pública,ALUNO-760,7,0,0G,Não,8641250000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-08-09 00:00:00,2024-05-07 00:00:00,10,8125-07-01 00:00:00,624999,10
Escola Pública,ALUNO-766,15,0,4B,Não,6824446333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,2024-04-07 00:00:00,2024-05-07 00:00:00,36666666666666600,8749999999999990,8055560000000000,5
Escola Pública,ALUNO-767,13,2,3L,Não,7096875,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,5,2024-05-07 00:00:00,7,796875,616666,10
Rede Decisão/União,ALUNO-768,14,3,3G,Sim,77272240000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,79166799999999904,2024-09-09 00:00:00,4375,7666666666666660,7291666666666660,877778,5
Escola Pública,ALUNO-773,12,4,2E,Sim,7854724666666660,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-06-05 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,8958333333333330,8944446666666660,5
Escola Pública,ALUNO-776,14,0,3R,Não,5591389333333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-02-05 00:00:00,2024-05-07 00:00:00,16666666666666600,7291666666666660,6611106666666660,5
Escola Pública,ALUNO-777,13,1,1D,Não,7012085000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-08-07 00:00:00,5,7.25,7.1875,7416665,5
Escola Pública,ALUNO-779,16,3,6C,Não,6.48,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-09-03 00:00:00,2024-05-07 00:00:00,4,2024-05-07 00:00:00,7624995,10
Escola Pública,ALUNO-780,12,0,3M,Não,8103542166666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,2024-02-08 00:00:00,2024-05-07 00:00:00,8333333333333330,796875,66666625,10
Rede Decisão/União,ALUNO-782,14,3,5B,Sim,8435835666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-07-08 00:00:00,9375,5666666666666660,9166666666666660,9166673333333330,10
Escola Pública,ALUNO-783,11,0,1M,Não,6995835000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,8,2024-05-07 00:00:00,2024-05-04 00:00:00,8125,7916665,5
Escola Pública,ALUNO-785,11,1,2B,Não,8812502,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-05-09 00:00:00,2024-05-07 00:00:00,9,8125,7.75,10
Escola Pública,ALUNO-786,16,2,5F,Não,5065416,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-09-01 00:00:00,2024-05-07 00:00:00,3,7.1875,683333,5
Escola Pública,ALUNO-789,15,2,4L,Não,4682222333333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958335,2024-08-02 00:00:00,2024-05-07 00:00:00,0,7916666666666660,5611103333333330,5
Escola Pública,ALUNO-790,13,1,3C,Sim,9198059333333330,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-09-08 00:00:00,2024-05-07 00:00:00,8666666666666660,9791666666666660,9777786666666660,10
Escola Pública,ALUNO-792,11,3,1G,Não,7783335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-05-08 00:00:00,4375,10,8125,7166665,5
Escola Pública,ALUNO-793,9,0,0E,Não,8118749000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,683334,10,2024-05-07 00:00:00,10,7.1875,7333325,5
Rede Decisão/União,ALUNO-794,11,3,2L,Sim,8281114,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-06-09 00:00:00,6.25,2024-05-06 00:00:00,7916666666666660,8722226666666660,10
Escola Pública,ALUNO-795,12,1,2D,Não,7971252,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-07-09 00:00:00,2024-05-07 00:00:00,7,8125-07-01 00:00:00,8,5
Escola Pública,ALUNO-796,13,2,3B,Não,8615210166666660,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,2024-08-09 00:00:00,2024-05-07 00:00:00,8333333333333330,796875,76250025,10
Escola Pública,ALUNO-797,12,1,1R,Não,6857223333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-08-06 00:00:00,4375,2024-05-06 00:00:00,6875,8111106666666660,5
Escola Pública,ALUNO-803,7,0,0G,Não,6979172000000000,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,10,5625,7,2024-05-02 00:00:00,4333349999999990,10
Escola Pública,ALUNO-807,8,1,0E,Não,8091669,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,10,6.25,9,2024-05-02 00:00:00,7833335,10
